sentence,label
Apache also has recycled more than 1.2 million barrels of produced water in the Granite Wash play in the Stiles Ranch area in Wheeler County.,1
We have the largest full-time union workforce of any company in America – more than the steel or airline industries and more than the “Big Three” automakers combined.,3
"Comprehensive Risk We strengthened our business continuity, crisis management and disaster recovery Oversight by the Audit & Risk Committee, management programs to minimize any negative impact to the organization in the event Ethical Culture, of a crisis.",7
"In 2011, Walmart China began a collaboration with Beijing Goldenway Bio-Tech (BGB) to compost 360 tons of organic waste from 10 stores in Beijing.",2
"Wherever Agilent is in the world, we adhere to the highest standards of integrity and business ethics.",7
This supply chain stream could potentially pose significant risk without the appropriate security controls.,3
As such we are exploring the use of bio-methane due to its significant carbon reduction potential.,0
"Our commitment to biodiversity is further exhibited by an Agilent site under development in Manesar, India, where the future of environmentally-friendly design is taking shape.",1
"The event targeted students from 9 to 14 years of age and attracted more than 19,000 visitors.",5
"A dedicated Climate Risk Working Group provides oversight for the development of risk identification, risk assessment, and scenario analysis.",0
The Compensation Committee considers the net cost to Agilent.,6
We also address the presence of naturally occurring radioactive material (NORM) when waste generated in fields contains actionable levels of such materials.,2
"Each year, we provide grants to nonprofit organizations where our employees volunteer through our individual recognition grant program (with grants ranging from $125 for 25 hours of service to $500 for 100 hours).",5
"The foundation has a matching gift program to double employee contributions to 501(c)(3) nonprofit organizations, schools and universities, and the Dollars for Doers program pairs employee donations of time with funds from the Prologis Foundation.",5
The bluesign® system supports sustainable textile production by providing raw material suppliers with the tools and capability needed to successfully restrict and manage harmful substances.,4
Consumption and carbon emissions are primarily from the use of electricity (indirect) and gas or fuel oil for heating or on-site electricity generation (direct).,0
"The sale of the truck-mounted forklift business reduced selling, general and administrative expense by $6.8 million in 2001.",8
"We received 20% for any cost underrun, subject to a ceiling that limited the underwriting profit to 10% of the target cost.",8
The decline is due to our redemption in December 2017 of all of the 2018 Notes and our December 2017 purchase of approximately $300 million aggregate principal amount of the $800 million outstanding principal amount of the 2020 Notes.,8
We support equal opportunities for employment and the elimination of discrimination in all forms.,3
"When factoring in the recycling rate and the material losses in recycling, it is clear that, as we move near 100% collection, yields really matter.",2
Commingled materials are collected in one container and sorted off-site at a material recovery facility.,2
"There can be no guarantee that we would be able to access new sources of liquidity on commercially reasonable terms, or at all.",8
"In many cases, this means removing trees in areas where trees had been pruned in the past.",1
Water Focus on water quality and hydration.,1
This Code supplements our business conduct policy.,7
"Our enterprise provisioning platform automates the access request and approval process for all applications and data across State Street throughout the employee, contractor and client life cycle.",4
"Compliance with Section 16(a) of the Exchange Act requires the Company's directors, executive officers and persons owning more than ten percent (10%) of the Company's Common Stock to file with the SEC and the New York Stock Exchange initial reports of ownership of Common Stock and other equity securities of the Company on Form 3 and reports of changes in such ownership on Forms 4 or 5.",6
Wal-Mart de Mexico has reduced water use by 3.57 percent (calculated by dividing cubic meters of water used by square meters of building constructed).,1
"In 2015, General Mills began to invest in small food start-ups through 301 INC, the company’s business development and venture capital unit.",5
"This impacts not only our design processes, but also our manufacturing processes—transitioning suppliers to safer alternatives protects workers and the world we live in.",3
The collected oil was either detoxified and resold or incinerated.,2
Chevron has a disciplined process for lobbying activities that is transparent through existing disclosures.,7
"Since its launch in 2017, SFHAF has funded the preservation and construction of 433 units, including a historic Mission Street building that will provide eight apartments for lowand moderate-income households.",5
"Sales decreased $176.7 million due to divestitures, net of acquisitions.",8
"In contrast, purchasing an equivalent amount of power from conventional power grids would have generated 64 million pounds (29 million kilograms) of carbon dioxide equivalent (CO2e).",0
"While most training programs are specific to the line of business, we are creating a cross-functional, cross-business learning and development road map for topics that are germane to all.",3
"As we expand our role in renewable energy financing, we are continuously looking out for impactful opportunities.",0
The increase in net income for fiscal 2004 is primarily a result of the factors discussed above and leveraging operating costs with increased sales.,8
"To date Pfizer, through ITI, has provided 145 million treatments of Zithromax® to patients in 18 countries and trained thousands of health care workers, who, in turn have completed more than 400,000 surgeries to treat advanced cases of trachoma.",3
Diversity and inclusion is a core company value at all levels.,7
"Total debt at December 31, 2002 was $2,638.0, a decrease of $271.0 from December 31, 2001.",8
Explanation of the Material Topic and its Boundary Customer privacy is handled with extreme seriousness at State Street.,4
"In the Alpine High play in Texas, out of an abundance of caution to protect the local spring systems, we under take extensive water quality testing that goes well beyond regulatory requirements.",1
"In another partnership with Conservation International, we are restoring degraded savannas in the Chyulu Hills region of Kenya, an area between three national parks in Kenya and just across the border from Kilimanjaro National Park in Tanzania.",1
"State Street had zero performance issues, service disruptions, and customer downtime related to cybersecurity events in 2020",4
"Additionally, the average vehicle sold by our company produces more carbon than the industry average.",0
"We are partnering with our communities and entrepreneurial businesses and using next-generation tools, including virtual and augmented reality, autonomous vehicles, robots and more, to propel our services and solutions forward.",5
"Five years ago, we launched a more concerted effort to place greater focus around our philanthropic efforts.",5
Strengthening Williams’ talent management strategy to maintain a best-in-class workforce.,3
We are committed to achieving net-zero greenhouse gas emissions by 2050.,0
"Across the country, approximately 40 properties are currently undergoing active remediation and/or monitoring for hazardous materials – in many cases tied to tenants who formerly performed dry cleaning operations on-site.",2
"Through our community outreach, we provide a variety of resources that help nonprofit organizations increase their impact and reach to better achieve their missions and help more People.",5
Paper made from 100% recycled fibers.,1
"The compensation committee reviewed the data for each of the named executive officers for purposes of setting each of the elements of 2014 compensation and then made individual compensation decisions, taking into consideration such factors as performance, retention, internal equity, individual development, and succession planning, based upon each peer group.",6
"The calculation is based upon: (i) Citigroups internal system of credit-risk ratings, which are analogous to the risk ratings of the major rating agencies; (ii) the Corporate portfolio database; and (iii) historical default and loss data, including rating-agency information regarding default rates from 1983 to 2007, and internal data dating to the early 1970s on severity of losses in the event of default.",8
Our Permian Region has developed a unique system using brackish and recycled produced water to maintain an aggressive drilling program without competing for freshwater supplies in the Barnhart area of drought-stricken West Texas.,1
"We account for the storage and application of each of these materials, evaluating the exposure to potentially harmful substances.",4
